taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
5936068	Bryanictis microlestes (Simpson, 1935)	8955724	Didymictis microlestes (Simpson, 1935)	1	SPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Viverravidae	3240024	Bryanictis	8336110	Didymictis microlestes	8955724	
6163835	Ursus americanus vancouveri Hall, 1928	6163835	Ursus americanus vancouveri Hall, 1928	31	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Ursidae	9681	Ursus	2433406	Ursus americanus	2433407	
6164315	Vulpes velox velox	5219290	Vulpes velox (Say, 1823)	1	SUBSPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Canidae	9701	Vulpes	5219234	Vulpes velox	5219290	
9849469	BOLD:AAA7409	9849469	BOLD:AAA7409	4	UNRANKED	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Procyonidae	5311	Procyon	2433592	Procyon lotor	5218786	
9857280	BOLD:AAB0530	9857280	BOLD:AAB0530	15	UNRANKED	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Soricomorpha	803	Soricidae	5534	Sorex	2435935	Sorex arcticus	2436104	
9941895	BOLD:AAF2573	9941895	BOLD:AAF2573	2	UNRANKED	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Soricomorpha	803	Talpidae	9469	Neurotrichus	2436207	Neurotrichus gibbsii	2436208	
2437295	Spermophilus columbianus (Ord, 1815)	7786966	Urocitellus columbianus (Ord, 1815)	993	SPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Sciuridae	9456	Urocitellus	4827933	Urocitellus columbianus	7786966	LC
2437307	Spermophilus franklinii (Sabine, 1822)	7946545	Poliocitellus franklinii (Sabine, 1822)	173	SPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Sciuridae	9456	Poliocitellus	4827937	Poliocitellus franklinii	7946545	LC
2439369	Geomys Rafinesque, 1817	2439369	Geomys Rafinesque, 1817	7	GENUS	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Geomyidae	9437	Geomys	2439369			
4826476	Talpavus Marsh, 1872	4826476	Talpavus Marsh, 1872	1	GENUS	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Erinaceomorpha	829			Talpavus	4826476			
