code,gbifname,gbifid,equal
Didelphis_virginiana,Didelphis virginiana,2439923,true
Lasiurus_insularis,Lasiurus insularis,5707198,true
Dactylopsila_tatei,Dactylopsila tatei,2440039,true
Rhinolophus_hillorum,Rhinolophus hillorum,4266698,true
Otomys_cheesmani,Otomys cheesmani,7548780,true
Rattus_baluensis,Rattus baluensis,2439265,true
Reithrodontomys_darienensis,Reithrodontomys darienensis,2437870,true
Sapajus_macrocephalus,Sapajus macrocephalus,8349140,true
Neomys_teres,Neomys teres,5219474,true
Mus_crociduroides,Mus crociduroides,2438790,true
Hyaena_hyaena,Hyaena hyaena,5218777,true
Chalinolobus_tuberculatus,Chalinolobus tuberculatus,2432286,true
Marmosops_invictus,Marmosops invictus,2439946,true
Oecomys_cleberi,Oecomys cleberi,2439307,true
Zyzomys_pedunculatus,Zyzomys pedunculatus,2439329,true
Moschus_leucogaster,Moschus leucogaster,4262218,true
Thrichomys_pachyurus,Thrichomys pachyurus,4262995,true
Myotis_phanluongi,Myotis phanluongi,8276071,true
Molossus_molossus,Molossus molossus,5218725,true
Trachypithecus_barbei,Trachypithecus barbei,4267071,true
Cratogeomys_perotensis,Cratogeomys perotensis,4262204,true
Avahi_peyrierasi,Avahi peyrierasi,5786031,true
Peromyscus_eremicus,Peromyscus eremicus,2437981,true
Marmosa_robinsoni,Marmosa robinsoni,2439862,true
Crocidura_somalica,Crocidura somalica,2435736,true
Andinomys_edax,Andinomys edax,2438956,true
Diplomys_caniceps,Diplomys caniceps,2439804,true
Euneomys_fossor,Euneomys fossor,2438874,true
Nyctophilus_corbeni,Nyctophilus corbeni,8149610,true
Hemiechinus_auritus,Hemiechinus auritus,2437125,true
Vulpes_chama,Vulpes chama,5219236,true
Trachypithecus_geei,Trachypithecus geei,2436536,true
Rhinopoma_muscatellum,Rhinopoma muscatellum,5218748,true
Semnopithecus_hypoleucos,Semnopithecus hypoleucos,4267224,true
Dasyprocta_ruatanica,Dasyprocta ruatanica,2437583,true
Niviventer_culturatus,Niviventer culturatus,2439058,true
Grammomys_selousi,Grammomys selousi,10788858,true
Thalpomys_lasiotis,Thalpomys lasiotis,2438858,true
Ctenomys_rionegrensis,Ctenomys rionegrensis,4263376,true
Mesocapromys_auritus,Mesocapromys auritus,2437645,true
Desmomys_yaldeni,Desmomys yaldeni,4264901,true
Scalopus_aquaticus,Scalopus aquaticus,2436230,true
Niviventer_brahma,Niviventer brahma,2439053,true
Lasiorhinus_krefftii,Lasiorhinus krefftii,5219997,true
Pelea_capreolus,Pelea capreolus,5220184,true
Myotis_pruinosus,Myotis pruinosus,2432426,true
Apomys_datae,Apomys datae,2438427,true
Lophuromys_kilonzoi,Lophuromys kilonzoi,8718010,true
Sphaerias_blanfordi,Sphaerias blanfordi,2432915,true
Peropteryx_leucoptera,Peropteryx leucoptera,2433141,true
Rhipidomys_modicus,Rhipidomys modicus,5706774,true
Hybomys_badius,Hybomys badius,4264897,true
Octodontomys_gliroides,Octodontomys gliroides,2439604,true
Eptesicus_pachyomus,Eptesicus pachyomus,10690996,true
Micropotamogale_lamottei,Micropotamogale lamottei,2432140,true
Gerbillus_maghrebi,Dipodillus maghrebi,4264981,false
Euphractus_sexcinctus,Euphractus sexcinctus,2440799,true
Kerivoula_flora,Kerivoula flora,2432539,true
Mus_saxicola,Mus saxicola,2438789,true
Myotis_muricola,Myotis muricola,2432429,true
Microtus_pinetorum,Microtus pinetorum,2438638,true
Eubalaena_glacialis,Eubalaena glacialis,2440339,true
Chiroderma_improvisum,Chiroderma improvisum,2433164,true
Myoictis_wallacei,Myoictis wallacii,2435444,false
Nesolagus_timminsi,Nesolagus timminsi,2436683,true
Microhydromys_argenteus,Microhydromys argenteus,7704816,true
Metachirus_nudicaudatus,Metachirus nudicaudatus,9686324,true
Petrogale_inornata,Petrogale inornata,2440121,true
