code,gbifname,gbifid,equal
Neovison macrodon,Mustela macrodon,5787247,false
Mephitis mephitis,Mephitis mephitis,5219380,true
Spilogale putorius,Spilogale putorius,2434831,true
Martes americana,Martes americana,5218864,true
Mustela frenata,Mustela frenata,5218919,true
Neovison vison,Mustela vison,5218823,false
Taxidea taxus,Taxidea taxus,2434102,true
Procyon lotor,Procyon lotor,5218786,true
Urocyon cinereoargenteus,Urocyon cinereoargenteus,2434566,true
Kogia breviceps,Kogia breviceps,2440694,true
Kogia sima,Kogia sima,2440691,true
Phocoena phocoena,Phocoena phocoena,2440669,true
Phocoenoides dalli,Phocoenoides dalli,2440684,true
Lynx rufus,Lynx rufus,2435246,true
Vulpes lagopus,Vulpes lagopus,5219303,true
Vulpes velox,Vulpes velox,5219290,true
Ovibos moschatus,Ovibos moschatus,2441108,true
Nyctinomops macrotis,Nyctinomops macrotis,2433062,true
Puma concolor,Puma concolor,2435099,true
Lynx canadensis,Lynx canadensis,2435263,true
Ursus americanus,Ursus americanus,2433407,true
Antilocapra americana,Antilocapra americana,2440902,true
Aplodontia rufa,Aplodontia rufa,2439690,true
Cynomys ludovicianus,Cynomys ludovicianus,2437232,true
Dipodomys ordii,Dipodomys ordii,2439541,true
Glaucomys volans,Glaucomys volans,2437338,true
Microtus oeconomus,Microtus oeconomus,2438635,true
Microtus pennsylvanicus,Microtus pennsylvanicus,2438655,true
Microtus townsendii,Microtus townsendii,2438612,true
Onychomys leucogaster,Onychomys leucogaster,2438517,true
Peromyscus leucopus,Peromyscus leucopus,2438019,true
Reithrodontomys megalotis,Reithrodontomys megalotis,2437874,true
Sciurus niger,Sciurus niger,5219683,true
Zapus trinotatus,Zapus trinotatus,2439471,true
Cryptotis parva,Cryptotis parva,5219509,true
Sorex arcticus,Sorex arcticus,2436104,true
Sorex bendirii,Sorex bendirii,2436038,true
Sorex cinereus,Sorex cinereus,2435964,true
Sorex dispar,Sorex dispar,2436067,true
Sorex haydeni,Sorex haydeni,2436034,true
Sorex hoyi,Sorex hoyi,2436053,true
Sorex merriami,Sorex merriami,2435989,true
Sorex palustris,Sorex palustris,2436006,true
Sorex trowbridgii,Sorex trowbridgii,2435936,true
Sorex tundrensis,Sorex tundrensis,2435975,true
Sorex ugyunak,Sorex ugyunak,2436089,true
Sorex vagrans,Sorex vagrans,2436042,true
Blarina brevicauda,Blarina brevicauda,2435862,true
Condylura cristata,Condylura cristata,2436248,true
Neurotrichus gibbsii,Neurotrichus gibbsii,2436208,true
Parascalops breweri,Parascalops breweri,2436161,true
Scalopus aquaticus,Scalopus aquaticus,2436230,true
Scapanus orarius,Scapanus orarius,2436188,true
Marmota flaviventris,Marmota flaviventris,2437369,true
Marmota monax,Marmota monax,2437368,true
Neotamias amoenus,Tamias amoenus,2437430,false
Neotamias minimus,Tamias minimus,2437432,false
Tamias striatus,Tamias striatus,2437438,true
Neotamias townsendii,Tamias townsendii,2437449,false
Tamiasciurus douglasii,Tamiasciurus douglasii,2437281,true
Tamiasciurus hudsonicus,Tamiasciurus hudsonicus,2437282,true
Geomys bursarius,Geomys bursarius,2439378,true
Thomomys talpoides,Thomomys talpoides,2439383,true
Perognathus fasciatus,Perognathus fasciatus,2439561,true
Perognathus parvus,Perognathus parvus,2439554,true
Napaeozapus insignis,Napaeozapus insignis,2439461,true
Zapus hudsonius,Zapus hudsonius,2439467,true
Zapus princeps,Zapus princeps,2439473,true
Myodes gapperi,Myodes gapperi,5706760,true
Dicrostonyx groenlandicus,Dicrostonyx groenlandicus,2438391,true
Dicrostonyx hudsonius,Dicrostonyx hudsonius,2438389,true
Dicrostonyx richardsoni,Dicrostonyx richardsoni,2438386,true
Lemmiscus curtatus,Lemmiscus curtatus,2438225,true
Microtus chrotorrhinus,Microtus chrotorrhinus,2438667,true
Microtus longicaudus,Microtus longicaudus,2438621,true
Microtus miurus,Microtus miurus,2438632,true
Microtus ochrogaster,Microtus ochrogaster,2438671,true
Microtus oregoni,Microtus oregoni,2438661,true
Microtus pinetorum,Microtus pinetorum,2438638,true
Microtus richardsoni,Microtus richardsoni,2438626,true
Phenacomys intermedius,Phenacomys intermedius,2438114,true
Phenacomys ungava,Phenacomys ungava,2438113,true
Synaptomys cooperi,Synaptomys cooperi,2438954,true
Neotoma cinerea,Neotoma cinerea,2438437,true
Peromyscus keeni,Peromyscus keeni,2437973,true
