metaweb,name,id
Hemiechinus_auritus,Hemiechinus auritus,2437125
Herpestes_ichneumon,Herpestes ichneumon,2434255
Hyaena_hyaena,Hyaena hyaena,5218777
Allactaga_williamsi,Allactaga williamsi,4262923
Pipistrellus_savii,Hypsugo savii,7261861
Hystrix_cristata,Hystrix cristata,5219888
Hystrix_indica,Hystrix indica,5219884
Lagurus_lagurus,Lagurus lagurus,2439131
Lemmus_lemmus,Lemmus lemmus,5219840
Lemmus_sibiricus,Lemmus sibiricus,5219835
Lepus_capensis,Lepus capensis,2436736
Lepus_castroviejoi,Lepus castroviejoi,2436788
Lepus_corsicanus,Lepus corsicanus,2436789
Lepus_europaeus,Lepus europaeus,7952072
