from,to,score_normal,score,pair,int
Canis lupus,Zapus hudsonius,0.96765,1.0,false,false
Canis lupus,Zapus princeps,0.9427,1.0,false,false
Canis lupus,Zapus trinotatus,0.9654,1.0,false,false
Canis rufus,Castor canadensis,0.98275,1.0,false,false
Canis rufus,Cynomys ludovicianus,0.92065,1.0,false,false
Canis rufus,Dicrostonyx groenlandicus,0.8998,1.0,false,false
Canis rufus,Dicrostonyx hudsonius,0.86225,1.0,false,false
Canis rufus,Dicrostonyx nunatakensis,0.8354,1.0,false,false
Canis rufus,Dicrostonyx richardsoni,0.8589,1.0,false,false
Canis rufus,Gulo gulo,0.7887,1.0,false,false
Canis rufus,Ictidomys tridecemlineatus,0.8124,1.0,false,false
Canis rufus,Lemmiscus curtatus,0.80615,1.0,false,false
Canis rufus,Lemmus trimucronatus,0.9379,1.0,false,false
Canis rufus,Lepus americanus,0.91925,1.0,false,false
Canis rufus,Lepus arcticus,0.9112,1.0,false,false
Canis rufus,Lepus townsendii,0.8799,1.0,false,false
Canis rufus,Lontra canadensis,0.72825,1.0,false,false
Canis rufus,Marmota caligata,0.7508,1.0,false,false
Canis rufus,Marmota flaviventris,0.80915,1.0,false,false
Canis rufus,Marmota monax,0.7635,1.0,false,false
Canis rufus,Marmota vancouverensis,0.8825,1.0,false,false
Canis rufus,Martes americana,0.7595,1.0,false,false
Canis rufus,Martes pennanti,0.81435,1.0,false,false
Canis rufus,Microtus chrotorrhinus,0.81575,1.0,false,false
Canis rufus,Microtus longicaudus,0.9716,1.0,false,false
Canis rufus,Microtus miurus,0.964,1.0,false,false
Canis rufus,Microtus montanus,0.82185,1.0,false,false
Canis rufus,Microtus ochrogaster,0.7908,1.0,false,false
Canis rufus,Microtus oeconomus,0.9077,1.0,false,false
Canis rufus,Microtus oregoni,0.81175,1.0,false,false
Canis rufus,Microtus pennsylvanicus,0.7631,1.0,false,false
Canis rufus,Microtus pinetorum,0.9648,1.0,false,false
Canis rufus,Microtus richardsoni,0.94705,1.0,false,false
Canis rufus,Microtus townsendii,0.97605,1.0,false,false
